query,latency_ms,retrieved_pages
"What is the total super built-up area of Max House, Okhla?",1314.99,2;6;1
How many tenant floors are there in Max House?,166.48,2;9;7
What is the typical floor plate size at Max House?,302.42,2;7;9
What is the green rating of Max House?,131.94,2;10;7
"How far is Max House, Okhla from the Okhla NSIC Metro Station?",202.86,3;1;15
How far is Max House from IGI Airport?,166.79,3;2;15
Is Max House within walking distance of a metro station?,306.58,3;15;1
What façade material is used in Max House?,136.75,7;6;11
What is the floor-to-ceiling height at Max House?,193.77,7;2;9
Does Max House use double-glazed windows?,163.7,7;9;1
What air treatment technology is used in Max House?,307.54,11;9;7
Is Max House LEED certified?,132.01,10;2;7
Does Max House incorporate biophilic design principles?,181.47,10;11;7
