query,latency_ms,retrieved_pages
"What is the total super built-up area of Max Towers, Noida?",1308.83,8;33;18
How many office floors and amenity floors are there in Max Towers?,217.88,8;18;10
What is the typical floor plate size at Max Towers?,241.53,8;18;9
What is the floor-to-floor height at Max Towers?,207.91,18;8;10
What green rating has Max Towers achieved?,279.94,8;13;31
Does Max Towers offer on-site wastewater treatment?,151.31,13;6;31
What is the coefficient of performance (COP) of the chiller system at Max Towers?,236.03,13;9;31
Does Max Towers support electric vehicle parking?,293.92,13;8;31
Does Max Towers have a swimming pool?,199.45,21;15;13
What kind of fitness facilities are available at Max Towers?,303.59,21;28;31
Does Max Towers provide daycare facilities?,150.36,31;6;4
What air treatment system is used in Max Towers?,249.44,13;9;23
Where is Max Towers located?,234.67,33;8;34
Is Max Towers within walking distance of a metro station?,209.18,8;33;13
Does Max Towers have direct access to the DND Flyway?,252.13,8;33;34
What type of façade glass is used in Max Towers?,151.6,9;10;11
What is the solar heat gain coefficient of the façade at Max Towers?,253.1,9;11;18
What percentage of regular occupied space at Max Towers gets line-of-sight to the outside?,253.94,18;9;8
